ID	GSM4037879	GSM4037880	GSM4037881	GSM4037882	GSM4037883	GSM4037884	GSM4037885	GSM4037886	GSM4037887	GSM4037888	GSM4037889	GSM4037890	GSM4037891	GSM4037892	GSM4037893	GSM4037894	GSM4037895	GSM4037896
BTN3A2	8.101242	7.543268	6.554783	7.674518	7.002152	7.226961	7.486697	7.949981	7.808005	8.121639	8.068334	8.430242	7.735953	8.206854	7.754257	8.3885	7.888235	7.603405
RAN	9.118345	9.409455	9.063534	9.660094	9.182082	8.898132	9.397806	9.532534	9.47614	9.909078	9.667414	9.416754	10.09704	10.22418	10.06949	9.732297	9.538722	9.998923
EIF5AL1///EIF5A	10.37294	10.29799	9.993797	10.33785	9.698058	9.312602	10.37195	10.07276	10.58144	10.8638	10.57135	10.48631	10.64328	10.91999	10.69915	9.968787	10.42474	10.70246
PIGK	6.853071	7.052034	6.633845	7.297116	6.358088	6.401828	6.801425	6.384011	7.195648	7.566715	6.989554	7.014357	7.564318	7.895971	7.824183	7.226521	6.750177	7.211947
HLA-DRB5	7.505383	8.286639	7.086667	7.689629	7.434511	7.42149	7.938261	7.7466	8.07885	10.05268	9.403235	8.5186	8.168873	7.222026	8.814802	8.292336	7.805849	9.014867
YWHAE	10.84439	11.08327	10.87498	11.23593	10.45961	9.989271	10.96859	11.06751	11.20388	11.43335	11.2352	10.97569	11.59252	11.87392	11.61398	10.97522	10.73323	11.56499
SNORD115-48	3.816892	4.643973	4.258043	3.901216	3.640848	5.894706	5.139333	4.909204	3.819173	3.794438	4.024484	3.754851	3.903939	4.008624	4.236028	3.540048	4.194501	4.120109
PDIA3P1///PDIA3	10.26623	9.856379	9.832886	10.01608	9.425117	9.103258	10.13517	9.801049	10.21538	10.57657	10.25841	10.35519	10.32786	10.51627	10.56428	10.15045	9.837672	10.3715
PLS3	9.118345	9.409455	9.063534	9.660094	9.182082	8.898132	9.397806	9.532534	9.47614	9.909078	9.667414	9.416754	10.09704	10.22418	10.06949	9.732297	9.538722	9.998923
TBCA	8.041574	8.932621	9.186313	8.796186	8.129129	7.278957	8.602689	7.765819	8.940464	8.422966	8.881548	8.520045	9.588419	9.276407	9.273166	9.392145	7.93029	9.128882
RRN3P1///RRN3P2///RRN3	9.488887	9.476272	9.507054	8.908098	8.759825	7.418362	8.697954	8.310956	9.336534	9.482611	9.541262	9.227257	9.647806	9.8535	9.899915	9.701437	8.534034	9.542806
SNORD45A	7.448324	8.234637	7.541965	7.882741	7.250357	5.720867	7.686793	6.050662	9.011369	8.948436	8.421611	8.216805	8.559217	8.720639	8.847279	8.730084	6.080218	8.419908
LOC728323///FBXO25	7.068429	8.329008	8.585359	8.110737	7.100358	5.711249	7.260818	6.338435	8.332501	7.861629	8.410478	8.184151	8.541121	8.657067	8.615269	8.598161	6.29987	8.481357
TOMM22	7.070332	8.159727	8.265205	8.194768	7.005731	6.932085	7.953197	7.066858	8.335327	8.356773	8.142231	7.778765	8.41149	8.692618	8.450113	8.281215	7.665412	8.430204
POLR2K	8.40194	8.865688	9.061282	9.067574	8.487214	7.70187	8.671764	8.507496	9.109016	9.333637	9.012614	8.907494	9.524348	9.411015	9.498132	9.303366	8.371037	9.213309
PUS7L	6.786709	6.469292	6.237099	6.840889	6.522814	5.896906	6.538005	6.76213	6.65693	7.157681	6.932247	6.663231	7.433349	7.362442	7.588222	6.864735	6.744732	7.41965
ERAP2	7.97601	6.624112	6.178662	7.680972	5.825537	6.068019	6.250129	6.288803	7.740265	9.007193	7.952061	7.884824	6.840908	8.605447	8.784388	8.252475	6.436783	7.828105
IL33	6.774287	7.357136	6.937061	7.112	6.871573	6.54515	6.902355	6.557469	6.963147	7.36804	7.221868	7.635286	8.217138	7.770394	7.892623	7.504798	6.216797	7.559799
SCFD1	7.916714	7.854874	7.925145	7.932577	7.281995	6.611233	7.847661	7.714288	8.015654	8.212753	8.057489	7.750876	8.632647	8.58348	8.385469	8.127112	7.588481	8.193089
MAPK9	8.251396	8.721481	8.204198	8.844258	8.179052	7.384214	8.33295	8.416541	8.76663	9.098335	8.781106	8.592827	9.108335	9.343159	9.12838	8.711529	8.749008	9.072292
EXOC5	6.649703	6.996078	6.793655	7.194239	7.083931	5.395779	7.24023	6.533632	7.21525	7.17833	6.96387	6.771729	7.497159	7.785524	7.635915	7.527377	6.717939	7.641133
SNORD115-32	4.84268	4.662296	4.930064	4.522325	4.716505	5.959742	5.946581	5.362731	4.723787	4.443061	4.357538	4.679023	4.243075	4.405975	4.23825	4.382197	4.489103	4.435917
FAM200B	5.368972	6.028607	5.353733	5.225614	4.862197	4.173388	5.341667	5.176065	5.40778	5.512097	5.852135	5.359137	5.974854	6.100921	5.930835	5.68986	5.455491	6.059561
NUCB2	8.378801	8.210627	8.324997	8.313333	7.97297	6.989598	8.327387	8.224548	8.539574	8.547485	8.464928	8.634485	8.954596	8.959415	8.809958	8.375358	8.094545	8.634024
ERLIN1	8.424947	8.37534	7.987101	8.544908	7.700549	7.630651	8.490681	8.409229	8.594948	8.785583	8.631246	8.249514	9.009793	8.960529	9.175265	8.555744	8.225821	9.089638
DLEU2	6.107018	6.362667	5.989911	6.455385	4.795002	5.100904	6.091565	5.064993	6.858605	6.631435	6.655558	6.89021	7.087487	7.195434	7.123406	7.477825	5.876153	7.125245
SLU7	8.009885	8.163853	7.725014	8.130693	7.655316	7.03581	7.800899	8.033495	8.123421	8.485703	8.22957	8.022932	8.802522	8.652775	8.617552	7.966047	7.792931	8.66926
COPS2	8.809701	9.498353	9.194678	9.441523	8.644806	7.541027	9.36867	9.35087	9.213201	9.924605	9.467511	9.112939	10.14386	10.41207	10.0996	9.41179	8.859033	10.17655
LYPLAL1	6.222161	7.181807	6.701973	7.043427	5.729409	5.653407	6.882841	5.928473	6.646186	7.008326	7.140909	7.144137	7.728027	7.884315	7.50878	7.29545	6.488192	7.351594
EMCN	7.901076	8.865437	8.29467	8.357651	8.441821	7.771762	8.080906	8.704623	8.548767	8.896022	8.895084	8.76162	9.699572	9.185626	9.014618	9.100339	8.131876	8.927611
FAM198B	8.614603	8.924343	8.278153	9.815867	8.842397	8.216094	8.894372	9.32118	9.686266	9.736194	9.396387	8.696005	9.649651	9.848671	9.784788	9.022085	8.870603	9.464559
HIGD1A	8.093983	8.524746	8.620763	8.492119	8.118006	7.303695	8.657888	8.394808	8.524342	9.08774	8.807444	8.408707	8.955938	9.679057	9.27275	9.02734	8.093412	9.074893
PCMTD1	9.668679	10.07607	9.492551	10.18411	9.537625	8.636177	10.07241	9.736937	10.1605	10.13482	10.35397	9.964239	10.59483	10.54446	10.73647	10.09757	9.290367	10.80304
LOC100128233	5.052856	4.84482	5.254066	4.989917	5.295302	6.349453	5.046775	5.152178	4.864617	4.529201	4.736202	4.942772	4.253885	4.675343	4.476471	5.076944	5.074314	4.573532
RAP1B	9.436591	9.553885	9.222752	9.59761	8.66137	7.614547	9.370727	8.823809	9.684252	9.752055	9.627837	9.434327	9.970256	10.05326	10.22816	9.627059	8.778507	9.803481
RAB18	9.390251	9.579824	9.183488	9.511016	8.765575	8.48	9.346323	9.434929	9.544214	9.908929	9.764405	9.410999	10.03539	10.25662	10.03686	9.41048	8.873795	9.991452
ZNF845	6.921805	7.348513	7.088219	7.288814	6.346223	6.268228	7.753834	6.856667	7.100804	7.239847	7.282676	7.047973	8.322282	8.044927	7.99094	7.903706	7.090681	8.02267
RAP1A	8.60668	8.722296	8.288581	8.748478	8.349804	7.368182	8.081963	8.210624	8.801541	8.986019	8.877299	8.637804	9.27791	9.241912	9.333634	8.479636	8.080598	9.28454
TRAPPC6B	7.878982	7.898867	7.553011	7.863822	7.149427	6.82603	7.729739	7.83591	8.114592	8.365763	8.31515	7.811767	8.384379	8.580938	8.375279	7.707995	7.377386	8.252274
TMEM106B	7.864531	8.143947	7.696786	8.254398	7.475436	7.438466	7.960721	8.065439	8.26394	8.164442	8.278786	8.16466	8.701271	8.766939	8.752557	8.264013	7.726644	8.646299
MYL12B///MYL12A	9.442287	9.950326	9.953406	10.06307	8.894247	8.390035	10.7148	9.140861	10.11511	10.03616	9.976144	9.929377	10.56481	10.41114	10.46747	10.23532	9.065082	10.28998
HLA-DRB1///HLA-DQB1	6.909644	7.670605	6.659156	7.394428	6.492872	6.398917	7.605772	6.394259	6.842381	8.660409	9.263887	7.171047	7.344087	7.167968	8.392247	7.351716	6.671787	8.386817
NSA2	8.226009	8.836848	9.254502	8.9694	8.318933	7.017158	8.60284	8.577481	8.699591	8.769519	9.507162	9.050386	9.236853	9.225428	9.252148	8.846248	7.956837	9.716588
LOC1720///DHFR	6.851815	8.137746	7.484911	8.104814	7.231539	7.193982	7.932246	7.605058	7.278965	8.285414	8.321065	8.101588	8.604633	8.70773	8.97629	8.371529	7.203134	8.574484
